created_at,order_id,status_id,value
2019-01-25T01:05:07.000Z,e210d5d53032677fb82956cc4d99526de1ce9b4ce1c2b3f57accce34f7cfb7f6,20c610bbd04145be1fabd9450f80e449b71abe4270be959bd6cdd1f15aff582e,CONCLUDED
2019-01-24T23:04:27.000Z,e210d5d53032677fb82956cc4d99526de1ce9b4ce1c2b3f57accce34f7cfb7f6,865ebdecb72407ce4ed2483010b51c575e0a8f0e6eda454f7e40a50a7f8d51a0,REGISTERED
2019-01-24T23:04:28.000Z,e210d5d53032677fb82956cc4d99526de1ce9b4ce1c2b3f57accce34f7cfb7f6,c654d4afcf616b5ba61253a218e243e28c5e18a53eed111ae05960a152459d5c,PLACED
2019-01-18T00:45:02.000Z,eb727878a71f64013e67d5a8b5e74e6bed79118862efba4a392495dc27c080da,874a99ba931bc040f49c2c915e0cdb5943f53155e3efc804e5792247f503607d,CONCLUDED
2019-01-18T00:45:02.000Z,eb727878a71f64013e67d5a8b5e74e6bed79118862efba4a392495dc27c080da,874a99ba931bc040f49c2c915e0cdb5943f53155e3efc804e5792247f503607d,CONCLUDED
2019-01-17T22:42:18.000Z,eb727878a71f64013e67d5a8b5e74e6bed79118862efba4a392495dc27c080da,90e89e18697b260364a6ea01c16f555dfb332c1517d1a96c96e46d56072875f9,PLACED
2019-01-17T22:42:18.000Z,eb727878a71f64013e67d5a8b5e74e6bed79118862efba4a392495dc27c080da,90e89e18697b260364a6ea01c16f555dfb332c1517d1a96c96e46d56072875f9,PLACED
2019-01-17T22:42:17.000Z,eb727878a71f64013e67d5a8b5e74e6bed79118862efba4a392495dc27c080da,a1c88d40d6f09116a3555d2b98df149457b83fd77434d0ea9497b8f75593a4a8,REGISTERED
2019-01-17T22:42:17.000Z,eb727878a71f64013e67d5a8b5e74e6bed79118862efba4a392495dc27c080da,a1c88d40d6f09116a3555d2b98df149457b83fd77434d0ea9497b8f75593a4a8,REGISTERED
2019-01-01T22:11:21.000Z,67b881888bc4a3ae34866dbc8e3b346b914d67f82077a7a9fe9463cae41c846c,dca8ff7ccc6fe07b97c085e57b0a214d598e7eb101f5d88e65710a00cbbee169,REGISTERED
2019-01-02T00:15:14.000Z,67b881888bc4a3ae34866dbc8e3b346b914d67f82077a7a9fe9463cae41c846c,3a98e67d6148446796b807525e30e33fdc70bf7b03a10f10359b34703de33102,CONCLUDED
2019-01-01T22:11:22.000Z,67b881888bc4a3ae34866dbc8e3b346b914d67f82077a7a9fe9463cae41c846c,54d4b8bcd7492a107bd109d32e5462149ce4154229153ae98dc15a7529d1411a,PLACED
